Ex: 1	 True Labels: [0, 5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 349	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 350	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 351	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 352	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 353	 True Labels: [3]	 MINAS-BR Prediction: [0, 3]
Ex: 354	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 355	 True Labels: [3]	 MINAS-BR Prediction: [0, 3]
Ex: 356	 True Labels: [3]	 MINAS-BR Prediction: [0, 3]
Ex: 357	 True Labels: [3]	 MINAS-BR Prediction: [0, 3]
Ex: 358	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 359	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 360	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 361	 True Labels: [3]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 362	 True Labels: [3]	 MINAS-BR Prediction: [0, 3]
Ex: 363	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 364	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 365	 True Labels: [3]	 MINAS-BR Prediction: [3]
Ex: 366	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 367	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 368	 True Labels: [3]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 369	 True Labels: [3]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 370	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 371	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 372	 True Labels: [3]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 373	 True Labels: [3]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 374	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 375	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 376	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 377	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 378	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 379	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 380	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 381	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 382	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 383	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 384	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 385	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 386	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 387	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 388	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 389	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 390	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 391	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 392	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 393	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 394	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 395	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 396	 True Labels: [4]	 MINAS-BR Prediction: [0]
Ex: 397	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 398	 True Labels: [4]	 MINAS-BR Prediction: [4]
Ex: 399	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 400	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 401	 True Labels: [4]	 MINAS-BR Prediction: [0, 3]
Ex: 402	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 403	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 3]
Ex: 404	 True Labels: [4]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 405	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 406	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 407	 True Labels: [4]	 MINAS-BR Prediction: [0, 3]
Ex: 408	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 409	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 410	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 411	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 412	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 413	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 414	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 415	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 416	 True Labels: [4]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 417	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 418	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 4]
Ex: 419	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 420	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 421	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 422	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 423	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 424	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 425	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 426	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 427	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 428	 True Labels: [4]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 429	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 430	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 431	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 432	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 433	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 434	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 435	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 436	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 437	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 438	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 439	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 440	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 441	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 442	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 443	 True Labels: [4]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 444	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 445	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 446	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 447	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 448	 True Labels: [4]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 449	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 450	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 451	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 452	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 453	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 454	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 455	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 456	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 457	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 458	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 459	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 460	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 461	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 462	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 463	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 464	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 465	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 466	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 467	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 468	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 469	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 470	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 471	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 472	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 473	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 474	 True Labels: [4]	 MINAS-BR Prediction: [0]
Ex: 475	 True Labels: [4]	 MINAS-BR Prediction: [0, 1]
Ex: 476	 True Labels: [4]	 MINAS-BR Prediction: [3]
Ex: 477	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 478	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 479	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 480	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 481	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 482	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 483	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 484	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 485	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 486	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 487	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 488	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 489	 True Labels: [4]	 MINAS-BR Prediction: [1, 4]
Ex: 490	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 491	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 4]
Ex: 492	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 493	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 494	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 495	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 496	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 497	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 498	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 499	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 500	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 501	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 502	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 503	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 504	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 505	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 506	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 507	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 508	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 509	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 510	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 511	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 512	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 513	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 514	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 515	 True Labels: [4]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 516	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 517	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 518	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 519	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 520	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 521	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 522	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 523	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 524	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 525	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 526	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 527	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 528	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 529	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 530	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 531	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 532	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 533	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 534	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 535	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 536	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 537	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 538	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 539	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 540	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 541	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 542	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 543	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 544	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 545	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 546	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 547	 True Labels: [4]	 MINAS-BR Prediction: [0, 4]
Ex: 548	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 549	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 550	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 551	 True Labels: [4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 552	 True Labels: [3, 4]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 553	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 554	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 555	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 556	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 557	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 558	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 559	 True Labels: [4]	 MINAS-BR Prediction: [3, 4]
Ex: 560	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 561	 True Labels: [4]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 562	 True Labels: [5]	 MINAS-BR Prediction: [4]
Ex: 563	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 564	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 565	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 566	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 567	 True Labels: [5]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 568	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 569	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 570	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 571	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 572	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 573	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 574	 True Labels: [5]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 575	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 576	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 577	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 578	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 579	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 580	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 4]
Ex: 581	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 582	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 583	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 584	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 585	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 586	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 587	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 588	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 589	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 590	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 591	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 592	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 593	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 594	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 595	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 596	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 597	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 598	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 599	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 600	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 601	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 602	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 603	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 604	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 605	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 606	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 607	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 608	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 609	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 610	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 611	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 612	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 613	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 614	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 615	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 616	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 617	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 618	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 619	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 620	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 621	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 622	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 623	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 624	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 625	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 626	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 627	 True Labels: [5]	 MINAS-BR Prediction: [0]
Ex: 628	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 629	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 630	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 631	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 632	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 633	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 634	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 635	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 636	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 637	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 638	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 639	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 640	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 641	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 642	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 643	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 644	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 645	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 646	 True Labels: [5]	 MINAS-BR Prediction: [1, 4]
Ex: 647	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 648	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 649	 True Labels: [5]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 650	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 651	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 652	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 653	 True Labels: [5]	 MINAS-BR Prediction: [1, 3]
Ex: 654	 True Labels: [5]	 MINAS-BR Prediction: [1]
Ex: 655	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 656	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 657	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 658	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 659	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 660	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 661	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 662	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 663	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 664	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 665	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 666	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 667	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 668	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 669	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 670	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 671	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 672	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 673	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 674	 True Labels: [5]	 MINAS-BR Prediction: [0, 3, 4]
Ex: 675	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 676	 True Labels: [5]	 MINAS-BR Prediction: [1, 3, 4]
Ex: 677	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 678	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 679	 True Labels: [5]	 MINAS-BR Prediction: [0]
Ex: 680	 True Labels: [5]	 MINAS-BR Prediction: [0, 4]
Ex: 681	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
Ex: 682	 True Labels: [5]	 MINAS-BR Prediction: [0, 1, 3, 4]
